NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,ESTADO_INS,METODO_CONS,NEAR_DIST,VOL_AUTORIZADO,VOL_ACTUAL,TON_AUTORIZADO,TON_ACTUAL,RES_APRUEBA,RES_PDC_APRUEBA,RES_PDC_FECHA,RES_APRUEBA_FECHA,latitud,longitud,lat_lon_pair
ISAAC PEREZ,PLANTA MARY,IV,ELQUI,ANDACOLLO,TRANQUE DE RELAVE ,TRANQUE DE RELAVE,ORO,6654257.33,299497.42,ABANDONADO,,3551.19728837983,11542.0,,17310.0,0.0,S/I,,,S/I,-30.226709,-71.083398,"-30.226709, -71.083398"
JOAQUIN GONZAÂLEZ,PLANTA GONZALEZ,IV,ELQUI,ANDACOLLO,TRANQUE DE RELAVE ,TRANQUE DE RELAVE,ORO,6653204.6046,299463.951799999,ABANDONADO,,2345.50724015936,23464.0,0.0,35196.0,0.0,S/I,,,S/I,-30.236198,-71.083946,"-30.236198, -71.083946"
JUAN PERINES PERINES,LAS TAZAS - CHISPERA (EX PLANTA LA EXOTICA),IV,ELQUI,ANDACOLLO,TRANQUE 2 (EX LA EXOTICA 2),TRANQUE DE RELAVE,ORO,6652956.56439999,298457.4099,INACTIVO,AGUAS ARRIBA,1838.99371093375,56160.0,0.0,84240.0,0.0,S/I,,,S/I,-30.238268,-71.094448,"-30.238268, -71.094448"
LUIS DONOSO SARMIENTO,PLANTA ANITA,RM,CHACABUCO,TILTIL,ANITA 1-2,TRANQUE DE RELAVE,ORO,6338565.3662,318500.457,ABANDONADO,EJE CENTRAL,1712.95735372961,3495.0,0.0,5242.0,0.0,304,N_A,N_A,1995-04-13 00:00:00,-33.076370,-70.944445,"-33.076370, -70.944445"
SOCIEDAD DOÃ‘A TERESA SERVICIOS SpA,MASTER( EX YABU),IV,LIMARI,COMBARBALA,MASTER 2 (EX YABU 2),TRANQUE DE RELAVE,COBRE-ORO,6549976.6583,308211.3638,INACTIVO,AGUAS ARRIBA,1215.05647876154,468500.0,0.0,679325.0,0.0,551,N_A,N_A,1989-05-09 00:00:00,-31.168532,-71.012326,"-31.168532, -71.012326"
DESCONOCIDO,DESCONOCIDO,III,COPIAPO,COPIAPO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,6966612.4845,370160.5751,INACTIVO,,6221.2733127492,2760.0,0.0,4140.0,0.0,S/I,,,S/I,-27.417713,-70.313486,"-27.417713, -70.313486"
DESCONOCIDO,DESCONOCIDO,III,COPIAPO,COPIAPO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,6966808.2766,370253.179499999,INACTIVO,,6081.22224477014,4276.0,0.0,6414.0,0.0,S/I,,,S/I,-27.415954,-70.312529,"-27.415954, -70.312529"
DESCONOCIDO,DESCONOCIDO,III,COPIAPO,COPIAPO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,6966840.68809999,370327.924399999,INACTIVO,,6084.22732202088,8442.0,0.0,12633.0,0.0,S/I,,,S/I,-27.415669,-70.311769,"-27.415669, -70.311769"
ASOCIACION PIRQUINEROS DE PETORCA,LA VEGA 2,V,PETORCA,PETORCA,MINERA LA VEGA,EMBALSE,COBRE,6433386.62829999,323100.770499999,INACTIVO,EMBALSE,6438.38468493883,4650.0,0.0,7440.0,0.0,3883,,,2003-12-24 00:00:00,-32.222223,-70.877231,"-32.222223, -70.877231"
LUIS DONOSO GARCIA HUIDOBRO,PLANTA ARIZONA,IV,ELQUI,ANDACOLLO,ARIZONA 1,TRANQUE DE RELAVE,ORO-COBRE-PLATA,6654469.9006,299961.300999999,INACTIVO,AGUAS ARRIBA,3700.69659724632,43370.0,0.0,65055.0,0.0,68,N_A,N_A,1987-01-16 00:00:00,-30.224869,-71.078540,"-30.224869, -71.078540"
MANUEL MONREAL VILLAREAL,PLANTA MONREAL I,IV,ELQUI,ANDACOLLO,MONREAL 2,TRANQUE DE RELAVE,COBRE-ORO-PLATA,6653756.58119999,298811.913599999,INACTIVO,AGUAS ARRIBA,2671.15019047627,11000.0,0.0,16500.0,0.0,526,N_A,N_A,1989-05-16 00:00:00,-30.231112,-71.090613,"-30.231112, -71.090613"
MARIANO RUIZ,PLANTA RUIZ,IV,ELQUI,ANDACOLLO,TRANQUE DE RELAVE ,TRANQUE DE RELAVE,ORO,6654408.9171,300747.658699999,ABANDONADO,,4046.94029222202,10000.0,0.0,15000.0,0.0,S/I,,,S/I,-30.225548,-71.070386,"-30.225548, -71.070386"
JUAN QUINTANA (LA BRILLANTE LTDA.),LA BRILLANTE,IV,ELQUI,ANDACOLLO,LA BRILLANTE,TRANQUE DE RELAVE,ORO,6654014.18109999,302773.260499999,ABANDONADO,,5252.17607376632,54491.0,0.0,81736.0,0.0,301,N_A,N_A,1990-04-16 00:00:00,-30.229439,-71.049423,"-30.229439, -71.049423"
NOVAK SPASOJEVIC,PLANTA MILITZA,IV,ELQUI,ANDACOLLO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,6660302.8299,297243.7121,ABANDONADO,,9255.48501979176,3730.0,,5590.0,0.0,S/I,,,S/I,-30.171815,-71.105642,"-30.171815, -71.105642"
PEDRO ESPINOZA HONORES,PLANTA JOHN KENNEDY,IV,ELQUI,ANDACOLLO,JOHN KENNEDY 1,TRANQUE DE RELAVE,ORO,6654578.23599999,302148.4395,ABANDONADO,AGUAS ARRIBA,5107.28283209133,24657.0,0.0,36985.0,0.0,523,N_A,N_A,1986-05-19 00:00:00,-30.224250,-71.055806,"-30.224250, -71.055806"
PEDRO MARTINEZ ULLOA,PLANTA MARTINEZ,IV,ELQUI,ANDACOLLO,MARTINEZ 1-2-3,TRANQUE DE RELAVE,ORO,6651915.722,299496.003999999,INACTIVO,,1362.20336624684,224600.0,0.0,325670.0,0.0,1071,N_A,N_A,1986-10-17 00:00:00,-30.247826,-71.083858,"-30.247826, -71.083858"
JUAN PERINES PERINES,LAS TAZAS - CHISPERA (EX PLANTA LA EXOTICA),IV,ELQUI,ANDACOLLO,TRANQUE 1 (EX LA EXOTICA 1),TRANQUE DE RELAVE,ORO,6652953.38939999,298424.0723,INACTIVO,AGUAS ARRIBA,1834.92206785249,4225.0,0.0,6337.0,0.0,S/I,703,1998-08-17 00:00:00,S/I,-30.238291,-71.094794,"-30.238291, -71.094794"
